--------- beginning of /dev/log/main 
--------- beginning of /dev/log/system 
08-20 20:40:39.590 D/M_InsDal( 3968): Lcom/notriddle/budget/TransferFragment;--->onActivityCreated(Landroid/os/Bundle;)V
08-20 20:40:39.590 D/M_InsDal( 3968): Lcom/notriddle/budget/SQLiteLoader;--->onStartLoading()V
08-20 20:40:39.590 D/M_InsDal( 3968): Lcom/notriddle/budget/SQLiteLoader;--->loadInBackground()Landroid/database/Cursor;
08-20 20:40:39.640 D/M_InsDal( 3968): Lcom/notriddle/budget/OkFragment;--->onResume()V
08-20 20:40:39.640 D/M_InsDal( 3968): Lcom/notriddle/budget/OkFragment;--->refreshOkButton()V
08-20 20:40:39.640 D/M_InsDal( 3968): Lcom/notriddle/budget/TransferFragment;--->isOk()Z
08-20 20:40:39.640 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesActivity;--->onCreateOptionsMenu(Landroid/view/Menu;)Z
08-20 20:40:39.640 D/M_InsDal( 3968): Lcom/notriddle/budget/OkFragment;--->onCreateOptionsMenu(Landroid/view/Menu;Landroid/view/MenuInflater;)V
08-20 20:40:39.640 D/M_InsDal( 3968): Lcom/notriddle/budget/OkFragment;--->onPrepareOptionsMenu(Landroid/view/Menu;)V
08-20 20:40:39.640 D/M_InsDal( 3968): Lcom/notriddle/budget/TransferFragment;--->isOk()Z
08-20 20:40:39.670 D/M_InsDal( 3968): Lcom/notriddle/budget/EditTextDefaultFocus;--->onAttachedToWindow()V
08-20 20:40:39.730 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;---><clinit>()V
08-20 20:40:39.730 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;---><init>(Landroid/content/Context;Landroid/database/Cursor;I)V
08-20 20:40:39.740 D/M_InsDal( 3968): Lcom/notriddle/budget/OkFragment;--->refreshOkButton()V
08-20 20:40:39.740 D/M_InsDal( 3968): Lcom/notriddle/budget/TransferFragment;--->isOk()Z
08-20 20:40:39.740 D/M_InsDal( 3968): Lcom/notriddle/budget/EditMoney;--->getCents()J
08-20 20:40:39.750 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesActivity;--->onCreateOptionsMenu(Landroid/view/Menu;)Z
08-20 20:40:39.750 D/M_InsDal( 3968): Lcom/notriddle/budget/OkFragment;--->onCreateOptionsMenu(Landroid/view/Menu;Landroid/view/MenuInflater;)V
08-20 20:40:39.750 D/M_InsDal( 3968): Lcom/notriddle/budget/OkFragment;--->onPrepareOptionsMenu(Landroid/view/Menu;)V
08-20 20:40:39.750 D/M_InsDal( 3968): Lcom/notriddle/budget/TransferFragment;--->isOk()Z
08-20 20:40:39.750 D/M_InsDal( 3968): Lcom/notriddle/budget/EditMoney;--->getCents()J
08-20 20:40:39.760 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.760 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.760 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.770 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.770 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.770 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.770 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.780 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.780 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.780 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.890 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.890 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.890 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.890 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.890 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.900 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.900 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.900 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.900 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.900 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.960 D/M_InsDal( 3968): Lcom/notriddle/budget/TransferFragment;--->onItemSelected(Landroid/widget/AdapterView;Landroid/view/View;IJ)V
08-20 20:40:39.960 D/M_InsDal( 3968): Lcom/notriddle/budget/TransferFragment$1;---><init>(Lcom/notriddle/budget/TransferFragment;)V
08-20 20:40:39.960 D/M_InsDal( 3968): Lcom/notriddle/budget/TransferFragment;--->onItemSelected(Landroid/widget/AdapterView;Landroid/view/View;IJ)V
08-20 20:40:39.960 D/M_InsDal( 3968): Lcom/notriddle/budget/TransferFragment$1;---><init>(Lcom/notriddle/budget/TransferFragment;)V
08-20 20:40:39.960 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:40:39.960 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:40:39.960 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:40:39.960 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:40:39.960 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:40:39.960 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:40:39.960 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:40:39.960 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:40:39.980 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.980 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.980 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.980 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.980 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.990 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.990 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.990 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.990 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:39.990 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.030 D/M_InsDal( 3968): Lcom/notriddle/budget/TransferFragment$1;--->run()V
08-20 20:40:40.030 D/M_InsDal( 3968): Lcom/notriddle/budget/OkFragment;--->refreshOkButton()V
08-20 20:40:40.030 D/M_InsDal( 3968): Lcom/notriddle/budget/TransferFragment;--->isOk()Z
08-20 20:40:40.030 D/M_InsDal( 3968): Lcom/notriddle/budget/EditMoney;--->getCents()J
08-20 20:40:40.030 D/M_InsDal( 3968): Lcom/notriddle/budget/TransferFragment$1;--->run()V
08-20 20:40:40.030 D/M_InsDal( 3968): Lcom/notriddle/budget/OkFragment;--->refreshOkButton()V
08-20 20:40:40.030 D/M_InsDal( 3968): Lcom/notriddle/budget/TransferFragment;--->isOk()Z
08-20 20:40:40.030 D/M_InsDal( 3968): Lcom/notriddle/budget/EditMoney;--->getCents()J
08-20 20:40:40.040 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesActivity;--->onCreateOptionsMenu(Landroid/view/Menu;)Z
08-20 20:40:40.040 D/M_InsDal( 3968): Lcom/notriddle/budget/OkFragment;--->onCreateOptionsMenu(Landroid/view/Menu;Landroid/view/MenuInflater;)V
08-20 20:40:40.040 D/M_InsDal( 3968): Lcom/notriddle/budget/OkFragment;--->onPrepareOptionsMenu(Landroid/view/Menu;)V
08-20 20:40:40.040 D/M_InsDal( 3968): Lcom/notriddle/budget/TransferFragment;--->isOk()Z
08-20 20:40:40.040 D/M_InsDal( 3968): Lcom/notriddle/budget/EditMoney;--->getCents()J
08-20 20:40:40.430 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->newDropDownView(Landroid/content/Context;Landroid/database/Cursor;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.450 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getDropDownView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.450 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->changeColor(ILandroid/view/View;)V
08-20 20:40:40.450 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:40:40.450 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getDropDownView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.450 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->changeColor(ILandroid/view/View;)V
08-20 20:40:40.450 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:40:40.460 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getDropDownView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.460 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->changeColor(ILandroid/view/View;)V
08-20 20:40:40.460 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:40:40.460 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getDropDownView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.470 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->changeColor(ILandroid/view/View;)V
08-20 20:40:40.470 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:40:40.490 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->newDropDownView(Landroid/content/Context;Landroid/database/Cursor;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.500 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getDropDownView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.500 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->changeColor(ILandroid/view/View;)V
08-20 20:40:40.500 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:40:40.510 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getDropDownView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.510 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->changeColor(ILandroid/view/View;)V
08-20 20:40:40.510 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:40:40.530 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getDropDownView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.530 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->changeColor(ILandroid/view/View;)V
08-20 20:40:40.530 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:40:40.540 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getDropDownView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.540 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->changeColor(ILandroid/view/View;)V
08-20 20:40:40.540 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:40:40.630 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getDropDownView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.630 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->changeColor(ILandroid/view/View;)V
08-20 20:40:40.630 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:40:40.630 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->newDropDownView(Landroid/content/Context;Landroid/database/Cursor;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.630 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getDropDownView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.630 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->changeColor(ILandroid/view/View;)V
08-20 20:40:40.630 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:40:40.640 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->newDropDownView(Landroid/content/Context;Landroid/database/Cursor;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.640 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getDropDownView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.640 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->changeColor(ILandroid/view/View;)V
08-20 20:40:40.640 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:40:40.640 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->newDropDownView(Landroid/content/Context;Landroid/database/Cursor;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.650 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getDropDownView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:40.650 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->changeColor(ILandroid/view/View;)V
08-20 20:40:40.650 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesAdapter;--->getColorStateDrawable(I)Landroid/graphics/drawable/Drawable;
08-20 20:40:41.620 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:41.630 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:41.640 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:41.640 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:41.640 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:41.660 D/M_InsDal( 3968): Lcom/notriddle/budget/SimpleEnvelopesAdapter;--->getView(ILandroid/view/View;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:46.540 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:40:46.550 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:40:46.550 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:40:46.550 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:40:46.550 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:40:46.550 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:40:46.550 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:40:46.550 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:40:46.580 D/M_InsDal( 3968): Lcom/notriddle/budget/TransferFragment;--->onLoaderReset(Landroid/content/Loader;)V
08-20 20:40:46.580 D/M_InsDal( 3968): Lcom/notriddle/budget/OkFragment;--->dismiss()V
08-20 20:40:46.590 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesActivity;--->onCreateOptionsMenu(Landroid/view/Menu;)Z
08-20 20:40:48.560 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesActivity;--->onClick(Landroid/view/View;)V
08-20 20:40:48.660 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesActivity;--->onPause()V
08-20 20:40:48.660 D/M_InsDal( 3968): Lcom/notriddle/budget/DeleteAdapter;--->performDelete()Z
08-20 20:40:48.690 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:40:48.690 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:40:48.690 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:40:48.690 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:40:48.690 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:40:48.690 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:40:48.690 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->onCreateDrawableState(I)[I
08-20 20:40:48.690 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;--->isChecked()Z
08-20 20:40:48.700 D/M_InsDal( 3968): Lcom/notriddle/budget/AllTransactionsActivity;---><init>()V
08-20 20:40:48.700 D/M_InsDal( 3968): Lcom/notriddle/budget/AllTransactionsActivity;--->onCreate(Landroid/os/Bundle;)V
08-20 20:40:48.740 D/M_InsDal( 3968): Lcom/notriddle/budget/LogAdapter;---><init>(Landroid/content/Context;)V
08-20 20:40:48.740 D/M_InsDal( 3968): Lcom/notriddle/budget/AllTransactionsActivity;--->onCreateLoader(ILandroid/os/Bundle;)Landroid/content/Loader;
08-20 20:40:48.740 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesOpenHelper;---><init>(Landroid/content/Context;)V
08-20 20:40:48.740 D/M_InsDal( 3968): Lcom/notriddle/budget/SQLiteLoader;---><init>(Landroid/content/Context;Landroid/database/sqlite/SQLiteOpenHelper;Ljava/lang/String;)V
08-20 20:40:48.740 D/M_InsDal( 3968): Lcom/notriddle/budget/SQLiteLoader;--->setNotificationUri(Landroid/net/Uri;)V
08-20 20:40:48.750 D/M_InsDal( 3968): Lcom/notriddle/budget/SQLiteLoader;--->onStartLoading()V
08-20 20:40:48.750 D/M_InsDal( 3968): Lcom/notriddle/budget/SQLiteLoader;--->loadInBackground()Landroid/database/Cursor;
08-20 20:40:48.790 D/M_InsDal( 3968): Lcom/notriddle/budget/LogAdapter;--->newView(Landroid/content/Context;Landroid/database/Cursor;Landroid/view/ViewGroup;)Landroid/view/View;
08-20 20:40:48.790 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableLinearLayout;---><init>(Landroid/content/Context;Landroid/util/AttributeSet;)V
08-20 20:40:48.800 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableRelativeLayout;---><clinit>()V
08-20 20:40:48.800 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableRelativeLayout;---><init>(Landroid/content/Context;Landroid/util/AttributeSet;)V
08-20 20:40:48.800 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableRelativeLayout;--->onCreateDrawableState(I)[I
08-20 20:40:48.800 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableRelativeLayout;--->isChecked()Z
08-20 20:40:48.810 D/M_InsDal( 3968): Lcom/notriddle/budget/LogAdapter$CardContents;---><init>(Landroid/view/View;)V
08-20 20:40:48.810 D/M_InsDal( 3968): Lcom/notriddle/budget/LogAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/LogAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:40:48.810 D/M_InsDal( 3968): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:40:48.810 D/M_InsDal( 3968): Lcom/notriddle/budget/LogAdapter;--->bindView(Landroid/view/View;Landroid/content/Context;Landroid/database/Cursor;)V
08-20 20:40:48.810 D/M_InsDal( 3968): Lcom/notriddle/budget/LogAdapter;--->fillCardContents(Landroid/content/Context;Lcom/notriddle/budget/LogAdapter$CardContents;Landroid/database/Cursor;)V
08-20 20:40:48.810 D/M_InsDal( 3968): Lcom/notriddle/budget/EditMoney;--->toMoneyBuilder(JLjava/lang/Appendable;)Ljava/lang/Appendable;
08-20 20:40:48.810 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableRelativeLayout;--->onCreateDrawableState(I)[I
08-20 20:40:48.810 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableRelativeLayout;--->isChecked()Z
08-20 20:40:48.850 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableRelativeLayout;--->onCreateDrawableState(I)[I
08-20 20:40:48.860 D/M_InsDal( 3968): Lcom/notriddle/budget/CheckableRelativeLayout;--->isChecked()Z
08-20 20:40:49.880 D/M_InsDal( 3968): Lcom/notriddle/budget/SQLiteLoader;--->onStartLoading()V
08-20 20:40:49.880 D/M_InsDal( 3968): Lcom/notriddle/budget/LockedActivity;--->onResume()V
08-20 20:40:49.880 D/M_InsDal( 3968): Lcom/notriddle/budget/LockedActivity;--->check()V
08-20 20:40:49.880 D/M_InsDal( 3968): Lcom/notriddle/budget/PinActivity;--->ensureUnlocked(Landroid/app/Activity;)Z
08-20 20:40:49.880 D/M_InsDal( 3968): Lcom/notriddle/budget/PinActivity;--->notify(Landroid/app/Activity;)V
08-20 20:40:49.880 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesActivity;--->onResume()V
08-20 20:40:49.880 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesActivity$1;---><init>(Lcom/notriddle/budget/EnvelopesActivity;)V
08-20 20:40:49.890 D/M_InsDal( 3968): Lcom/notriddle/budget/SQLiteLoader;--->loadInBackground()Landroid/database/Cursor;
08-20 20:40:49.890 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesActivity$1;--->doInBackground([Ljava/lang/Object;)Ljava/lang/Object;
08-20 20:40:49.890 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesOpenHelper;--->playLog(Landroid/content/Context;)V
08-20 20:40:49.900 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesOpenHelper;---><init>(Landroid/content/Context;)V
08-20 20:40:49.940 D/M_InsDal( 3968): Lcom/notriddle/budget/EnvelopesOpenHelper;--->playLog(Landroid/database/sqlite/SQLiteDatabase;)V
